时间,SH501225,SH501018,SZ160644,SZ161226,SZ161129,SZ160723,SZ161130,SH501312,SZ161128,SZ160140,SZ161125,SZ162415,SZ161126,SH501043,SZ164705,SH501300,SZ160717,SZ163208,SH501302,SZ164906,SZ161124,SZ161831,SH501025,SZ160924,SZ160416,SZ160216,SZ164824,SZ161116,SZ161815,SZ162719,SZ164701,SZ162411,SZ165513,SZ161127,SZ160719
2026-06-01 00:50,42.89,7.69,7.12,6.79,4.94,4.18,3.16,3.14,2.4,1.76,1.56,1.35,1.18,0.76,0.1,-0.1,-0.17,-0.37,-0.38,-0.39,-0.58,-0.64,-0.68,-0.69,-0.71,-0.92,-0.93,-0.93,-1.14,-1.25,-1.27,-1.34,-1.41,-1.44,-1.62
2026-06-01 20:07,41.53,9.73,7.04,6.31,5.68,5.61,4.21,4.0,3.77,2.83,2.4,2.34,1.98,1.95,1.16,0.35,0.17,-0.13,-0.18,-0.28,-0.33,-0.42,-0.53,-0.55,-0.57,-0.57,-0.71,-0.75,-1.1,-1.2,-1.36,-1.36,-1.72,-2.05,-2.51
2026-06-01 21:09,41.53,9.73,7.04,6.31,5.7,5.61,4.21,3.99,3.77,2.83,2.43,2.4,1.98,1.95,1.16,0.35,0.17,-0.13,-0.18,-0.28,-0.34,-0.42,-0.53,-0.55,-0.57,-0.57,-0.71,-0.75,-1.13,-1.2,-1.37,-1.4,-1.71,-2.03,-2.5
2026-06-02 18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-02 19:58,29.98,12.37,8.1,7.4,6.02,5.63,3.39,3.3,3.04,2.93,2.9,2.05,1.29,0.97,0.65,0.55,0.33,0.13,0.12,-0.23,-0.66,-0.68,-0.84,-0.94,-0.98,-1.18,-1.21,-1.27,-1.35,-1.37,-1.64,-1.95,-2.07,-2.1,-2.38
2026-06-03 18:37,33.32,10.28,7.8,7.01,6.91,5.12,3.65,2.88,2.23,0.71,0.37,0.26,0.22,0.13,-0.1,-0.14,-0.15,-0.17,-0.27,-0.38,-0.41,-0.46,-0.55,-0.56,-0.62,-0.69,-0.71,-0.76,-0.91,-1.01,-1.02,-1.25,-1.43,-1.44,-1.72
2026-06-03 20:12,33.36,10.38,7.8,7.28,6.99,5.21,3.75,2.97,2.46,0.73,0.29,0.26,0.24,0.11,0.06,-0.18,-0.21,-0.27,-0.34,-0.41,-0.55,-0.55,-0.56,-0.58,-0.69,-0.71,-0.76,-0.91,-0.96,-1.29,-1.33,-1.39,-1.53,-1.62,0.0
2026-06-04 14:13,33.91,7.24,6.79,6.37,4.94,4.81,4.09,3.64,1.54,0.28,-0.1,-0.22,-0.35,-0.36,-0.37,-0.42,-0.43,-0.44,-0.53,-0.67,-0.71,-0.74,-0.76,-0.79,-0.81,-0.84,-1.01,-1.02,-1.14,-1.37,-1.8,-1.85,-1.89,-2.72,-3.05
2026-06-04 17:49,30.75,7.23,5.44,5.31,4.64,4.55,3.79,3.18,1.03,-0.1,-0.22,-0.29,-0.36,-0.42,-0.44,-0.47,-0.49,-0.53,-0.54,-0.55,-0.68,-0.72,-0.76,-0.77,-0.82,-1.17,-1.18,-1.3,-1.3,-1.33,-1.37,-1.53,-1.56,-3.14,-3.66
2026-06-05 14:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05 16:43,34.44,8.18,8.08,7.07,5.35,5.22,4.77,4.38,3.9,3.44,2.94,2.06,1.97,1.8,1.73,1.62,0.89,0.84,0.66,0.39,0.16,0.11,0.09,-0.11,-0.16,-0.2,-0.26,-0.34,-0.35,-0.37,-0.61,-0.72,-0.72,-0.95,-1.8
